ID|Document|Paragraph_Article|Domain|Reference|Main_text|cl100k_base_tokens
1314|EBA Guidelines on the application of the definition of default under Article 178 of Regulation(EU) No 575/2013|Paragraph 91|Definition of Default|9 Application of the definition of default for retail exposures > Level of application of the default definition for retail exposures|"91. The same rule should apply to the obligors treated under the Standardised Approach, where 
some exposures to an obligor fulfil the requirements of Article 123 of Regulation (EU) 
575/2013 while other exposures to the same obligor are in the form of securities and 
therefore do not qualify as retail. Where an exposure in the form of a security fulfils either or 
both of the conditions of points (a) or (b) of Article 178(1) of Regulation (EU) No 575/2013, all 
exposures to that obligor should be considered defaulted. Where the exposure that fulfils the 
requirements of Article 123 of Regulation (EU) 575/2013 meets those conditions and the 
institution applies the definition of default at the individual credit facility level, the other 
exposures to the obligor should not be automatically reclassified to default status. 
Institutions, however, may classify those other exposures as defaulted on the basis of other 
unlikeliness to pay considerations, as provided further in paragraphs 92 to 94."|250
1315|EBA Guidelines on the application of the definition of default under Article 178 of Regulation(EU) No 575/2013|Paragraph 92|Definition of Default|9 Application of the definition of default for retail exposures > Application of the definition of default for retail exposures at the|"92. Where, in accordance with the second sub-paragraph of Article 178(1) of Regulation (EU) No 
575/2013, the definition of default has been applied at the level of an individual credit facility 
with regard to retail exposures, institutions should not consider automatically the different 
exposures to the same obligor defaulted at the same time. Nevertheless institutions should 
take into account that some indications of default are related with the condition of the 
obligor rather than the status of a particular exposure. This refers in particular to the 
indications of unlikeliness to pay related with the bankruptcy of the obligor as specified in 
points (e) and (f) of Article 178(3) of Regulation (EU) No 575/2013. Where such indication of 
default occurs, institutions should treat all exposures to the same obligor as defaulted 
regardless of the level of application of the definition of default."|218
1316|EBA Guidelines on the application of the definition of default under Article 178 of Regulation(EU) No 575/2013|Paragraph 93|Definition of Default|9 Application of the definition of default for retail exposures > Application of the definition of default for retail exposures at the|"93. Institutions should consider also other indications of unlikeliness to pay and specify, in line 
with their internal policies and procedures, which indications of unlikeliness to pay reflect the 
overall situation of an obligor rather than that of the exposure. Where such other indications 
of unlikeliness to pay occur, all exposures to the obligor should be considered defaulted 
regardless of the level of application of the definition of default."|111
1317|EBA Guidelines on the application of the definition of default under Article 178 of Regulation(EU) No 575/2013|Paragraph 94|Definition of Default|9 Application of the definition of default for retail exposures > Application of the definition of default for retail exposures at the|"94. Additionally, where a significant part of the exposures to the obligor is in default, institutions 
may consider it unlikely that the other obligations of that obligor will be paid in full without 
recourse to actions such as realising security and treat them as defaulted as well."|80
1318|EBA Guidelines on the application of the definition of default under Article 178 of Regulation(EU) No 575/2013|Paragraph 95|Definition of Default|9 Application of the definition of default for retail exposures > Application of the definition of default for retail exposures at the|"95. The application of the definition of default for retail exposures at the obligor level implies 
that, where any credit obligation of the obligor meets the conditions of points (a) or (b) or 
both of Article 178(1) of Regulation (EU) No 575/2013, then all exposures to that obligor 
should be considered defaulted. Institutions that decide to apply the definition of default for 
retail exposures at the obligor level should specify detailed rules for the treatment of joint 
credit obligations and default contagion between exposures in their internal policies and 
procedures."|145
1319|EBA Guidelines on the application of the definition of default under Article 178 of Regulation(EU) No 575/2013|Paragraph 96|Definition of Default|9 Application of the definition of default for retail exposures > Application of the definition of default for retail exposures at the|"96. Institutions should consider a joint credit obligation as an exposure to two or more obligors 
that are equally responsible for the repayment of the credit obligation. This notion does not 
extend to a credit obligation of an individual obligor secured by another individual or entity in 
the form of a guarantee or other credit protection."|87
1320|EBA Guidelines on the application of the definition of default under Article 178 of Regulation(EU) No 575/2013|Paragraph 97|Definition of Default|9 Application of the definition of default for retail exposures > Application of the definition of default for retail exposures at the|"97. Where the conditions of points (a) or (b) or both of Article 178(1) of Regulation (EU) No 
575/2013 are met with regard to a joint credit obligation of two or more obligors, institutions 
should consider all other joint credit obligations of the same set of obligors and all individual 
exposures to those obligors as defaulted, unless they can justify that the recognition of 
default on individual exposures is not appropriate because at least one of the following 
conditions apply: 
(a) the delay in payment of a joint credit obligation results from a dispute between the 
individual obligors participating in the joint credit obligation that has been introduced 
to a court or another formal procedure performed by a dedicated external body that 
results in a binding ruling in accordance with the applicable legal framework in the 
relevant jurisdiction, and there is no concern about the financial situation of the 
individual obligors; 
(b) a joint credit obligation is an immaterial part of the total obligations of an individual 
obligor."|236
1321|EBA Guidelines on the application of the definition of default under Article 178 of Regulation(EU) No 575/2013|Paragraph 98|Definition of Default|9 Application of the definition of default for retail exposures > Application of the definition of default for retail exposures at the|"98. The default of a joint credit obligation should not cause the default of other joint credit 
obligations of individual obligors with other individuals or entities, which are not involved in 
the credit obligation that has initially been defaulted; however, institutions should assess 
whether the default of the joint credit obligation at hand constitutes an indication of 
unlikeliness to pay with regard to the other joint credit obligations."|105
1322|EBA Guidelines on the application of the definition of default under Article 178 of Regulation(EU) No 575/2013|Paragraph 99|Definition of Default|9 Application of the definition of default for retail exposures > Application of the definition of default for retail exposures at the|"99. Where the conditions of points (a) or (b) or both of Article 178(1) of Regulation (EU) No 
575/2013 are met with regard to the credit obligation of an individual obligor, the contagious 
effect of this default should not automatically spread to any joint credit obligations of that 
obligor; nevertheless, institutions should assess such joint credit obligations for possible 
indications of unlikeliness to pay related with the default of one of the obligors. In any case, 
where all individual obligors have a defaulted status, their joint credit obligation should 
automatically also be considered defaulted."|153
1323|EBA Guidelines on the application of the definition of default under Article 178 of Regulation(EU) No 575/2013|Paragraph 100|Definition of Default|9 Application of the definition of default for retail exposures > Application of the definition of default for retail exposures at the|"100. Institutions should identify, on the basis of the analysis of relevant legal provisions in a 
jurisdiction, and provide in their internal policies and procedures for the identification of the 
obligors that are legally fully liable for certain obligations jointly and severally with other 
obligors, therefore being fully liable for the entire amount of those obligations, but excluding 
credit obligations of an individual obligor secured by another individual or entity in the form 
of a guarantee or other credit protection. A typical example would be a married couple 
where, based on specific legal provisions applicable in the relevant jurisdiction, division of 
marital property (system of separate estates) does not apply. In the case of full mutual 
liability for all obligations, default of one of such obligors should be considered an indication 
of potential unlikeliness to pay of the other obligor and therefore institutions should assess 
whether the individual and joint credit obligations of these obligors should be considered 
defaulted. Where one of the joint and several obligors that are legally fully liable for all 
obligations, has a joint credit obligation with another client, the institution should assess 
whether indications of unlikeliness to pay occur also on the other joint credit obligations with 
third parties."|277
1324|EBA Guidelines on the application of the definition of default under Article 178 of Regulation(EU) No 575/2013|Paragraph 101|Definition of Default|9 Application of the definition of default for retail exposures > Application of the definition of default for retail exposures at the|"101. Institutions should also analyse the forms of legal entities in relevant jurisdictions and the 
extent of liability of the owners, partners, shareholders or managers for the obligations of a 
company depending on the legal form of the entity. Where an individual is fully liable for the 
obligations of a company, default of that company should result in that individual being 
considered defaulted as well. Where such full liability for the obligations of a company does 
not exist, owners, partners or significant shareholders of a defaulted company should be 
assessed by the institution for possible indications of unlikeliness to pay with regard to their 
individual obligations."|151
1325|EBA Guidelines on the application of the definition of default under Article 178 of Regulation(EU) No 575/2013|Paragraph 102|Definition of Default|9 Application of the definition of default for retail exposures > Application of the definition of default for retail exposures at the|"102. Additionally, in the specific case of an individual entrepreneur where an individual is fully 
liable for both private and commercial obligations with both private and commercial assets 
the default of any of the private or commercial obligations should cause all private and 
commercial obligations of such individual to be considered as defaulted as well."|84
1326|EBA Guidelines on the application of the definition of default under Article 178 of Regulation(EU) No 575/2013|Paragraph 103|Definition of Default|9 Application of the definition of default for retail exposures > Application of the definition of default for retail exposures at the|"103. Where the definition of default is applied at the level of an obligor for retail exposures, 
the materiality threshold should also be applied at the level of an obligor. Institutions should 
clearly specify in their internal policies and procedures the treatment of joint credit 
obligations in the application of the materiality threshold."|90
1327|EBA Guidelines on the application of the definition of default under Article 178 of Regulation(EU) No 575/2013|Paragraph 104|Definition of Default|9 Application of the definition of default for retail exposures > Application of the definition of default for retail exposures at the|"104. A joint obligor, i.e. a specific set of individual obligors that have a joint obligation towards 
an institution, should be treated as a different obligor from each of the individual obligors. In 
the case the delay in payment occurs on a joint credit obligation, the materiality of such delay 
should be assessed by applying the materiality threshold referred to in point (d) of Article 
178(2) of Regulation (EU) No 575/2013 to all joint credit obligations granted to this specific 
set of obligors. For this purpose the individual exposures to obligors participating in a joint 
credit obligation or to any other subsets of such obligors should not be taken into account. 
However, where the materiality threshold for a joint obligor calculated in this way is 
breached, all joint credit obligations of this set of obligors and all individual exposures to the 
obligors participating in a joint credit obligation should be considered defaulted unless any of 
the conditions specified in paragraph 97 is met."|235
1328|EBA Guidelines on the application of the definition of default under Article 178 of Regulation(EU) No 575/2013|Paragraph 105|Definition of Default|9 Application of the definition of default for retail exposures > Application of the definition of default for retail exposures at the|"105. When delay in payment occurs on an individual credit obligation, the materiality of such 
delay should be assessed by applying the materiality threshold referred to in point (d) of 
Article 178(2) of Regulation (EU) No 575/2013 to all individual credit obligations of this 
obligor, without taking into account any joint credit obligations of that obligor with other 
individuals or entities. Where the materiality threshold calculated in this way is breached, all 
individual exposures to this obligor should be considered defaulted."|135
1329|EBA Guidelines on the application of the definition of default under Article 178 of Regulation(EU) No 575/2013|Paragraph 106|Definition of Default|10 Documentation, internal policies and risk management processes > Timeliness of the identification of default|"106. Institutions should have effective processes that allow them to obtain the relevant 
information in order to identify defaults in a timely manner, and to channel the relevant 
information in the shortest possible time and, where possible, in an automated manner, to 
the personnel that is responsible for taking credit decisions, and more in particular: 
(a) where they apply automatic processes, such as counting of days past due, the 
identification of indications of default should be performed on a daily basis; 
(b) where they implement manual processes, such as checking external sources and 
databases, analysis of watch lists, analysis of the lists of forborne exposures, 
identification of SCRA, the information should be updated with a frequency that 
guarantees the timely identification of default."|174
1330|EBA Guidelines on the application of the definition of default under Article 178 of Regulation(EU) No 575/2013|Paragraph 107|Definition of Default|10 Documentation, internal policies and risk management processes > Timeliness of the identification of default|"107. Institutions should verify on a regular basis that all forborne non-performing exposures 
are classified as default and subject to distressed restructuring. Institutions should also 
analyse on a regular basis the forborne performing exposures in order to determine whether 
any of them fulfils the indication of unlikeliness to pay as specified in Article 178(3)(d) of 
Regulation (EU) No 575/2013 and in paragraphs 49 to 55."|114
1331|EBA Guidelines on the application of the definition of default under Article 178 of Regulation(EU) No 575/2013|Paragraph 108|Definition of Default|10 Documentation, internal policies and risk management processes > Timeliness of the identification of default|"108. Control mechanisms should ensure that the relevant information is used in the default 
identification process immediately after being obtained. All exposures to a defaulted obligor 
or all relevant exposures in case of the application of the definition of default at the facility 
level for retail exposures should be marked as defaulted in all relevant IT systems without 
undue delay. If delays occur in the recording of the default, such delays should not lead to 
errors or inconsistencies in risk management, risk reporting, the own funds requirements 
calculation or the use of data in risk quantification. In particular it should be ensured that the 
internal and external reporting figures reflect a situation where all exposures are correctly 
classified."|156
1332|EBA Guidelines on the application of the definition of default under Article 178 of Regulation(EU) No 575/2013|Paragraph 109|Definition of Default|10 Documentation, internal policies and risk management processes > Documentation|"109. Institutions should document their policies regarding the definition of default including all 
triggers for identification of default and the exit criteria as well as clear identification of the 
scope of application of the definition of default and, more in particular they should: 
(a) document the operationalisation of all indications of default; 
(b) document the operationalisation of the criteria for reclassification of a defaulted 
obligor to a non-defaulted status; 
(c) keep an updated register of all definitions of default."|114
1333|EBA Guidelines on the application of the definition of default under Article 178 of Regulation(EU) No 575/2013|Paragraph 110|Definition of Default|10 Documentation, internal policies and risk management processes > Documentation|"110. For the purposes of point (a) of paragraph 109, institutions should document the 
application of the definition of default in a detailed manner by including the 
operationalization of all indications of default, including the process, sources of information 
and responsibilities for the identification of particular indications of default."|74
1334|EBA Guidelines on the application of the definition of default under Article 178 of Regulation(EU) No 575/2013|Paragraph 111|Definition of Default|10 Documentation, internal policies and risk management processes > Documentation|"111. For the purposes of point (b) of paragraph 109, institutions should document the 
operationalization of the criteria for reclassification of a defaulted obligor to a non-defaulted 
status, including the processes, sources of information and responsibilities assigned to 
relevant personnel."|69
1335|EBA Guidelines on the application of the definition of default under Article 178 of Regulation(EU) No 575/2013|Paragraph 112|Definition of Default|10 Documentation, internal policies and risk management processes > Documentation|"112. For the purposes of paragraphs 110 and 111, the documentation should include 
description of all automatic mechanisms and manual processes, and where qualitative 
indications of default or criteria for the return to non-defaulted status are applied manually 
the description should be sufficiently detailed to facilitate common understanding and 
consistent application by all responsible personnel."|80
1336|EBA Guidelines on the application of the definition of default under Article 178 of Regulation(EU) No 575/2013|Paragraph 113|Definition of Default|10 Documentation, internal policies and risk management processes > Documentation|"113. For the purposes of point (c) of paragraph 109, institutions should keep an updated 
register of all current and past versions of the default definition at least starting from the date 
of application of these guidelines. This register should include at least the following 
information: 
(a) the scope of application of the default definition, if there is more than one default 
definition used within the institution, the parent undertaking or any of its 
subsidiaries; 
(b) the body approving the definition or definitions of default and date of approval for 
each of those definitions of default; 
(c) the date of implementation of each definition of default; 
(d) brief description of all changes performed relatively to the last version; 
(e) in the case of institutions that have permission to use the IRB Approach, the change 
category assigned, the date of submission to the competent authorities and, if 
applicable, the date of approval by the competent authorities."|207
1337|EBA Guidelines on the application of the definition of default under Article 178 of Regulation(EU) No 575/2013|Paragraph 114|Definition of Default|10 Documentation, internal policies and risk management processes > Internal governance requirements for institutions applying the IRB|"114. Institutions that use the IRB Approach should adopt adequate mechanisms and 
procedures in order to ensure that the definition of default is implemented and used in a 
correct manner, and should in particular ensure that: 
(a) the definition of default and the scope of its application is what is required to be 
approved by the management body, or by a committee designated by it, and by 
senior management in accordance with Article 189(1) of Regulation (EU) 575/2013; 
(b) the definition of default is used consistently for the purpose of the own funds 
requirements calculation and plays a meaningful role in the internal risk management 
processes by being used at least in the area of monitoring of exposures and in the 
internal reporting to senior management and management body; 
(c) the internal audit unit or another comparable independent auditing unit reviews 
regularly the robustness and effectiveness of the process used by the institution for 
the identification of default, taking into account in particular the timeliness of the 
identification of default referred to in paragraphs 106 to 108; and ensuring that the 
conclusions of the internal audit’s review and respective recommendations, as well as 
the measures taken to remedy the identified weaknesses are communicated directly 
to the management body or the committee designated by it."|285
1338|EBA Guidelines for PD and LGD estimation|Paragraph 1|General requirements to rating systems|1 Compliance and reporting obligations|"1. This document contains guidelines issued pursuant to Article 16 of Regulation (EU) No 
1093/2010. In accordance with Article 16(3) of Regulation (EU) No 1093/2010, competent 
authorities and financial institutions must make every effort to comply with the guidelines."|70
1339|EBA Guidelines for PD and LGD estimation|Paragraph 2|General requirements to rating systems|1 Compliance and reporting obligations|"2. Guidelines set out the EBA’s view of appropriate supervisory practices within the European 
System of Financial Supervision or of how Union law should be applied in a particular area. 
Competent authorities as defined in Article 4(2) of Regulation (EU) No 1093/2010 to whom 
guidelines apply should comply by incorporating them into their practices as appropriate (e.g. 
by amending their legal framework or their supervisory processes), including where guidelines 
are directed primarily at institutions."|111
1340|EBA Guidelines for PD and LGD estimation|Paragraph 3|General requirements to rating systems|1 Compliance and reporting obligations|"3. In accordance with Article 16(3) of Regulation (EU) No 1093/2010, competent authorities must
notify the EBA as to whether they comply or intend to comply with these guidelines, or
otherwise give reasons for non-compliance, by 25.06.2018. In the absence of any notification
by this deadline, competent authorities will be considered by the EBA to be non-compliant.
Notifications should be sent by submitting the form available on the EBA website to
compliance@eba.europa.eu with the reference ‘EBA/GL/2017/16’. Notifications should be
submitted by persons with appropriate authority to report compliance on behalf of their
competent authorities. Any change in the status of compliance must also be reported to the
EBA."|171
1341|EBA Guidelines for PD and LGD estimation|Paragraph 4|General requirements to rating systems|1 Compliance and reporting obligations|4. Notifications will be published on the EBA website, in line with Article 16(3).|27
1342|EBA Guidelines for PD and LGD estimation|Paragraph 5|General requirements to rating systems|2 Subject matter, scope and definitions > 2.1 Subject matter|"5. These guidelines specify the requirements for the estimation of probability of default (PD) 
and loss given default (LGD), including LGD for defaulted exposures (LGD in-default) and best 
estimate of expected loss (ELBE) in accordance with Part Three, Title II, Chapter 3, Section 6 of 
Regulation (EU) No 575/2013, Article 159 of that Regulation and the EBA final draft regulatory 
technical standards on the IRB assessment methodology EBA/RTS/2016/03 [RTS on IRB 
assessment methodology] of 21 July 2016."|144
1343|EBA Guidelines for PD and LGD estimation|Paragraph 6|General requirements to rating systems|2 Subject matter, scope and definitions > 2.2 Scope of application|"6. These guidelines apply in relation to the IRB Approach in accordance with Part Three, Title II, 
Chapter 3 of Regulation (EU) No 575/2013 for all methods based on own estimates of PD and 
LGD. Where, for exposures other than retail, an institution has received permission to use the 
IRB Approach but has not received permission to use own estimates of LGD in accordance 
with Article 143(2) in conjunction with Article 151(8) to (9) of that Regulation, all parts of 
these guidelines apply, except Chapters 6 and 7. These guidelines do not apply to the 
calculation of own funds requirements for dilution risk in accordance with Article 157 of 
Regulation (EU) No 575/2013."|179
1344|EBA Guidelines for PD and LGD estimation|Paragraph 7|General requirements to rating systems|2 Subject matter, scope and definitions > 2.3 Addressees|"7. These guidelines are addressed to competent authorities as defined in point (i) of Article 4(2) 
of Regulation (EU) No 1093/2010 and to financial institutions as defined in Article 4(1) of 
Regulation (EU) No 1093/2010."|80
1345|EBA Guidelines for PD and LGD estimation|Paragraph 8|General requirements to rating systems|2 Subject matter, scope and definitions > 2.4 Definitions|"8. Unless otherwise specified, terms used and defined in Regulation (EU) No 575/2013 and 
Directive 2013/36/EU have the same meaning in these guidelines. In addition, for the 
purposes of these guidelines, the following definitions apply: See table on sheet ""Definitions"""|77
1346|EBA Guidelines for PD and LGD estimation|Paragraph 9|General requirements to rating systems|3 Implementation > 3.1 Date of application|"9. These guidelines apply from 1 January 2021. Institutions should incorporate the requirements 
of these guidelines in their rating systems by that time, but competent authorities may 
accelerate the timeline of this transition at their discretion."|57
1347|EBA Guidelines for PD and LGD estimation|Paragraph 10|General requirements to rating systems|3 Implementation > 3.2 First application of the Guidelines|"10. The internal validation function should verify the changes which are applied to the rating 
systems as a result of the application of these guidelines and the regulatory technical 
standards to be developed in accordance with Article 144(2) of Regulation (EU) No 575/2013, 
and the classification of the changes in accordance with Commission Delegated Regulation 
(EU) No 529/2014."|97
1348|EBA Guidelines for PD and LGD estimation|Paragraph 11|General requirements to rating systems|3 Implementation > 3.2 First application of the Guidelines|"11. Institutions that need to obtain prior permission from competent authorities in accordance 
with Article 143(3) of Regulation (EU) No 575/2013 and Regulation (EU) No 529/2014 for the 
changes in the rating systems required to incorporate these guidelines for the first time by 
the deadline referred to in paragraph 9 should agree with their competent authorities the 
final deadline for submitting the application for such prior permission."|103
1349|EBA Guidelines for PD and LGD estimation|Paragraph 12|Model application, use, review and changes|4 General estimation requirements > 4.1 Principles for specifying the range of application of the rating|"12. A rating system in the sense of point (1) of Article 142(1) of Regulation (EU) No 575/2013 
should cover all those exposures where the obligors or facilities show common drivers of risk 
and credit-worthiness and fundamentally comparable availability of credit-related 
information. The PD and LGD model within a rating system may comprise various calibration 
segments. Where all obligors or exposures within the range of application of the PD or LGD 
model are jointly calibrated the whole scope of application of the model is considered one 
calibration segment."|139
1350|EBA Guidelines for PD and LGD estimation|Paragraph 13|Model application, use, review and changes|4 General estimation requirements > 4.1 Principles for specifying the range of application of the rating|"13. Exposures covered by the same rating system should be treated similarly by the institution in 
terms of risk management, decision making and credit approval process and should be 
assigned to a common obligor rating scale for the purposes of Article 170(1)(b) of Regulation 
(EU) No 575/2013 and a common facility rating scale for the purposes of Article 170(1)(e) of 
that Regulation."|110
1351|EBA Guidelines for PD and LGD estimation|Paragraph 14|Model application, use, review and changes|4 General estimation requirements > 4.1 Principles for specifying the range of application of the rating|"14. For the purpose of quantification of various risk parameters within a rating system, 
institutions should apply the same definition of default for the same historical observations 
used in different models. Institutions should also apply the same treatment of multiple 
defaults of the same obligor or exposure across internal, external and pooled data sources."|85
1352|EBA Guidelines for PD and LGD estimation|Paragraph 15|Data requirements|4 General estimation requirements > 4.2 Data requirements > 4.2.1 Quality of data|"15. In order to comply with the requirement of Article 76 of the RTS on IRB assessment 
methodology that institutions should have sound policies, processes and methods for 
assessing and improving the quality of data used for the purpose of credit risk measurement 
and management processes, institutions should ensure that those policies apply to all data 
used in model development and calibration, as well as to the data used in the application of 
the risk parameters."|113
1353|EBA Guidelines for PD and LGD estimation|Paragraph 16|Data requirements|4 General estimation requirements > 4.2 Data requirements > 4.2.1 Quality of data|"16. In order for the data used in the model development and in the application of risk parameters 
as inputs into the model to meet the requirements of accuracy, completeness and 
appropriateness specified in Article 174(b) of Regulation (EU) No 575/2013, it should be 
sufficiently precise to avoid material distortions of the outcome of the assignment of 
exposures to obligors or facility grades or pools, and it should not contain any biases which 
make the data unfit for purpose."|128
1354|EBA Guidelines for PD and LGD estimation|Paragraph 17|Data requirements|4 General estimation requirements > 4.2 Data requirements > 4.2.2 Governance for data representativeness|"17. In order to comply with the requirement of the representativeness of data used in the PD and 
LGD models specified in Articles 174(c), 179(1)(d) and 179(2)(b) of Regulation (EU) No 
575/2013 as well as in Articles 40 and 45 of the RTS on IRB assessment methodology, 
institutions should have sound policies, processes and methods for assessing the 
representativeness of data used for the purpose of estimation of risk parameters. Institutions 
should specify in their internal policies the statistical tests and metrics to be used for the 
purpose of assessing the representativeness of data used for risk differentiation and, 
separately, for data underlying the risk quantification. Institutions should also specify 
methods for qualitative assessment of data for the cases, defined in their policies, where the 
application of statistical tests is not possible."|210
1355|EBA Guidelines for PD and LGD estimation|Paragraph 18|Data requirements|4 General estimation requirements > 4.2 Data requirements > 4.2.2 Governance for data representativeness|"18. Institutions should use the same standards and methods for the assessment of 
representativeness of data stemming from different sources, including internal, external and 
pooled data or a combination of these, unless different methods are justified by the 
specificity of the data source or availability of information."|84
1356|EBA Guidelines for PD and LGD estimation|Paragraph 19|Data requirements|4 General estimation requirements > 4.2 Data requirements > 4.2.2 Governance for data representativeness|"19. Where external or pooled data are used institutions should obtain sufficient information from 
the data providers to assess the representativeness of such external or pooled data to the 
institutions’ own portfolios and processes."|67
1357|EBA Guidelines for PD and LGD estimation|Paragraph 20|Data requirements|4 General estimation requirements > 4.2 Data requirements > 4.2.3 Representativeness of data for model development|"20. Institutions should analyse the representativeness of data in the case of statistical models and 
other mechanical methods used to assign exposures to grades or pools, as well as in the case 
of statistical default prediction models generating default probability estimates for individual 
obligors or facilities. Institutions should select an appropriate dataset for the purpose of 
model development to ensure that the performance of the model on the application 
portfolio, in particular its discriminatory power, is not significantly hindered by insufficient 
representativeness of data."|130
1358|EBA Guidelines for PD and LGD estimation|Paragraph 21|Data requirements|4 General estimation requirements > 4.2 Data requirements > 4.2.3 Representativeness of data for model development|"21. For the purposes of ensuring that the data used in developing the model for assigning obligors 
or exposures to grades or pools is representative of the application portfolio covered by the 
relevant model, as required in Article 174(c) of Regulation (EU) No 575/2013 and Article 40(2) 
of the RTS on IRB assessment methodology institutions should analyse the representativeness 
of the data at the stage of model development in terms of all of the following: 
(a) the scope of application; 
(b) the definition of default; 
(c) the distribution of the relevant risk characteristics; 
(d) lending standards and recovery policies."|162
1359|EBA Guidelines for PD and LGD estimation|Paragraph 22|Data requirements|4 General estimation requirements > 4.2 Data requirements > 4.2.3 Representativeness of data for model development|"22. For the purpose of paragraph 21(a) institutions should analyse the segmentation of exposures 
and consider whether there were any changes to the scope of application of the considered 
model over the period covered by the data used in developing the model for assigning 
obligors or exposures to grades or pools. Where such changes were observed institutions 
should analyse the risk drivers relevant for the change of the scope of application of the 
model by comparing their distribution in the RDS before and after the change as well as with 
the distribution of those risk drivers in the application portfolio. For this purpose institutions 
should apply statistical methodologies such as cluster analysis or similar techniques to 
demonstrate representativeness. In the case of pooled models the analysis should be 
performed with regard to the part of the scope of the model that is used by an institution."|198
1360|EBA Guidelines for PD and LGD estimation|Paragraph 23|Data requirements|4 General estimation requirements > 4.2 Data requirements > 4.2.3 Representativeness of data for model development|"23. For the purpose of paragraph 21(b) institutions should ensure that the definition of default 
underlying the data used for model development is consistent over time and, in particular, 
that it is consistent with all of the following: 
(a) that adjustments have been made to achieve consistency with the current default 
definition where the default definition has been changed during the observation period; 
(b) that adequate measures have been adopted by the institution, where the model covers 
exposures in several jurisdictions having or having had different default definitions; 
(c) that the definition of default in each data source has been analysed separately; 
(d) that the definition of default used for the purposes of model development does not have 
a negative impact on the structure and performance of the rating model, in terms of risk 
differentiation and predictive power, where this definition is different from the definition 
of default used by the institution in accordance with Article 178 of Regulation (EU) No 
575/2013."|229
1361|EBA Guidelines for PD and LGD estimation|Paragraph 24|Data requirements|4 General estimation requirements > 4.2 Data requirements > 4.2.3 Representativeness of data for model development|"24. For the purpose of paragraph 21(c) institutions should analyse the distribution and range of 
values of key risk characteristics of the data used in developing the model for risk 
differentiation in comparison with the application portfolio. With regard to LGD models, 
institutions should perform such analysis separately for non-defaulted and defaulted 
exposures."|98
1362|EBA Guidelines for PD and LGD estimation|Paragraph 25|Data requirements|4 General estimation requirements > 4.2 Data requirements > 4.2.3 Representativeness of data for model development|"25. Institutions should analyse the representativeness of the data in terms of the structure of the 
portfolio by relevant risk characteristics based on statistical tests specified in their policies to 
ensure that the range of values observed on these risk characteristics in the application 
portfolio is adequately reflected in the development sample. Where the application of 
statistical tests is not possible, institutions should carry out at least a qualitative analysis on the 
basis of the descriptive statistics of the structure of the portfolio, taking into account the 
possible seasoning effects referred to in Article 180(2)(f) of Regulation (EU) No 575/2013. When 
considering the results of this analysis, institutions should take into account the sensitivity of 
the risk characteristics to economic conditions. Material differences in the key risk 
characteristics between the data sample and the application portfolio should be addressed, for 
example by using another data sample or a subset of observations or by adequately reflecting 
these risk characteristics as risk drivers in the model."|228
1363|EBA Guidelines for PD and LGD estimation|Paragraph 26|Data requirements|4 General estimation requirements > 4.2 Data requirements > 4.2.3 Representativeness of data for model development|"26. For the purpose of paragraph 21(d) institutions should analyse whether, over the relevant 
historical observation period, there were significant changes in their lending standards or 
recovery policies or in the relevant legal environment, including changes in insolvency law, 
legal foreclosure procedures and any legal regulations related to realisation of collaterals, 
which may influence the level of risk or the distribution or ranges of the risk characteristics in 
the portfolio covered by the considered model. Where institutions observe such changes they 
should compare the data included in the RDS before and after the change of the policy. 
Institutions should ensure comparability of the current underwriting or recovery standards 
with those applied to the observations included in the RDS and used for model development."|181
1364|EBA Guidelines for PD and LGD estimation|Paragraph 27|Data requirements|4 General estimation requirements > 4.2 Data requirements > 4.2.3 Representativeness of data for model development|"27. Within the PD model the representativeness of data used in developing the model for risk 
differentiation does not require that the proportion of defaulted and non-defaulted 
exposures in this dataset be equal to the proportion of defaulted and non-defaulted 
exposures in the institution’s application portfolio. However, institutions should have a 
sufficient number of defaulted and non-defaulted observations in the development dataset 
and they should document the difference."|119
1365|EBA Guidelines for PD and LGD estimation|Paragraph 28|Data requirements|4 General estimation requirements > 4.2 Data requirements > 4.2.4 Representativeness of data for calibration of risk parameters|"28. In order for institutions to ensure that the data used in risk quantification is representative of 
the application portfolio covered by the relevant model in accordance with Sub-section 2 of 
Section 6 of Chapter 3 in Part Three of Regulation (EU) No 575/2031 and Article 45(2) of the 
RTS on IRB assessment methodology, institutions should analyse the comparability of the data 
used for the purpose of calculating long-run average default rates or long-run average LGDs 
as referred to in Article 179(1)(d) of Regulation (EU) No 575/2013 and, where relevant, the 
representativeness of the pool in accordance with Article 179(2)(b) of that Regulation, in 
terms of all of the following: 
(a) the scope of application; 
(b) the definition of default; 
(c) the distribution of the relevant risk characteristics; 
(d) the current and foreseeable economic or market conditions; 
(e) lending standards and recovery policies."|241
1366|EBA Guidelines for PD and LGD estimation|Paragraph 29|Data requirements|4 General estimation requirements > 4.2 Data requirements > 4.2.4 Representativeness of data for calibration of risk parameters|"29. For the purpose of paragraph 28(a) institutions should perform an analysis as specified in 
paragraph 22."|53
